series,outcome,model,origin,h,actual,pred,lo,hi,err,abs_err,ape,covered,mase_scale,scaled_err
Low income,DALY,Drift,2013,4,91900.33145101141,79767.59283399327,75036.50761200013,84498.67805598641,12132.738617018142,12132.738617018142,13.202061870131171,0,1604.062166011805,7.563758359305915
Low income,DALY,Drift,2013,5,97482.08692846051,81329.72777328992,75943.15029114296,86716.30525543689,16152.35915517059,16152.35915517059,16.569566434317696,0,1604.062166011805,10.06965908019036
Low income,DALY,Drift,2013,6,103816.67533406155,82891.86271258656,76886.71744671898,88897.00797845414,20924.812621474994,20924.812621474994,20.155541057487227,0,1604.062166011805,13.044888823417956
Low income,DALY,ETS,2014,1,81876.13440425383,81659.93843322787,80426.41983859614,82893.45702785961,216.19597102595435,216.19597102595435,0.2640524892864532,1,1707.8783929830906,0.12658745020383594
Low income,DALY,ETS,2014,2,86558.57414685565,85684.12888594081,83247.6116020149,88120.64616986671,874.445260914843,874.445260914843,1.0102352881082066,1,1707.8783929830906,0.5120067473817503
Low income,DALY,ETS,2014,3,91900.33145101141,89627.83545627541,85668.86468767632,93586.8062248745,2272.495994736004,2272.495994736004,2.4727832412088584,1,1707.8783929830906,1.3305959042942839
Low income,DALY,ETS,2014,4,97482.08692846051,93492.66782334572,87779.41903907277,99205.91660761867,3989.4191051147936,3989.4191051147936,4.092463785723546,1,1707.8783929830906,2.335891783340977
Low income,DALY,ETS,2014,5,103816.67533406155,97280.20347265422,89623.1121702007,104937.29477510774,6536.471861407335,6536.471861407335,6.296167586155364,1,1707.8783929830906,3.827246651906118
Low income,DALY,ETS,2014,6,109874.53917555002,100991.9883399645,91228.70910934411,110755.2675705849,8882.550835585513,8882.550835585513,8.084266748453507,1,1707.8783929830906,5.200926993443998
Low income,DALY,ARIMA,2014,1,81876.13440425383,81710.356303452,80775.25341398867,82645.45919291534,165.77810080182098,165.77810080182098,0.2024742643360653,1,1707.8783929830906,0.09706668898847198
Low income,DALY,ARIMA,2014,2,86558.57414685565,85806.00791677466,83715.05428997817,87896.96154357115,752.5662300809927,752.5662300809927,0.8694300218071818,1,1707.8783929830906,0.4406439200665288
